Year,National League,NL Wins,American League,AL Wins
World,National League,Wins,American League,Wins
1903,"Pittsburgh Pirates
[0 - 1 in Series Play]",3,"Boston Americans
[1 - 0 in Series Play]",5
1904,"No Series (See Fact #1)
  [x - x in Series Play]",x,"No Series (See Fact #1)
  [x - x in Series Play]",x
1905,"New York Giants
[1 - 0 in Series Play]",4,"Philadelphia Athletics
[0 - 1 in Series Play]",1
1906,"Chicago Cubs
[0 - 1 in Series Play]",2,"Chicago White Sox
[1 - 0 in Series Play]",4
1907,"Chicago Cubs
[1 - 1 in Series Play]",4,"Detroit Tigers
[0 - 1 in Series Play]",0
1908,"Chicago Cubs
[2 - 1 in Series Play]",4,"Detroit Tigers
[0 - 2 in Series Play]",1
1909,"Pittsburgh Pirates
[1 - 1 in Series Play]",4,"Detroit Tigers
[0 - 3 in Series Play]",3
1910,"Chicago Cubs
[2 - 2 in Series Play]",1,"Philadelphia Athletics
[1 - 1 in Series Play]",4
1911,"New York Giants
[1 - 1 in Series Play]",2,"Philadelphia Athletics
[2 - 1 in Series Play]",4
1912,"New York Giants
[1 - 2 in Series Play]",3,"Boston Red Sox
[2 - 0 in Series Play]",4
1913,"New York Giants
  [1 - 3 in Series Play]",1,"Philadelphia Athletics
  [3 - 1 in Series Play]",4
1914,"Boston Braves
[1 - 0 in Series Play]",4,"Philadelphia Athletics
[3 - 2 in Series Play]",0
1915,"Philadelphia Phillies
[0 - 1 in Series Play]",1,"Boston Red Sox
[3 - 0 in Series Play]",4
1916,"Brooklyn Robins
[0 - 1 in Series Play]",1,"Boston Red Sox
[4 - 0 in Series Play]",4
1917,"New York Giants
[1 - 4 in Series Play]",2,"Chicago White Sox
[2 - 0 in Series Play]",4
1918,"Chicago Cubs
[2 - 3 in Series Play]",2,"Boston Red Sox
[5 - 0 in Series Play]",4
1919,"Cincinnati Reds
[1 - 0 in Series Play]",5,"Chicago White Sox
[2 - 1 in Series Play]",3
1920,"Brooklyn Robins
[0 - 2 in Series Play]",2,"Cleveland Indians
[1 - 0 in Series Play]",5
1921,"New York Giants
[2 - 4 in Series Play]",5,"New York Yankees
[0 - 1 in Series Play]",3
1922,"New York Giants
[3 - 4 in Series Play]",4,"New York Yankees
[0 - 2 in Series Play]",0
1923,"New York Giants
[3 - 5 in Series Play]",2,"New York Yankees
[1 - 2 in Series Play]",4
1924,"New York Giants
[3 - 6 in Series Play]",3,"Washington Senators
[1 - 0 in Series Play]",4
1925,"Pittsburgh Pirates
[2 - 1 in Series Play]",4,"Washington Senators
[1 - 1 in Series Play]",3
1926,"St. Louis Cardinals
[1 - 0 in Series Play]",4,"New York Yankees
[1 - 3 in Series Play]",3
1927,"Pittsburgh Pirates
[2 - 2 in Series Play]",0,"New York Yankees
[2 - 3 in Series Play]",4
1928,"St. Louis Cardinals
[1 - 1 in Series Play]",0,"New York Yankees
[3 - 3 in Series Play]",4
1929,"Chicago Cubs
[2 - 4 in Series Play]",1,"Philadelphia Athletics
[4 - 2 in Series Play]",4
1930,"St. Louis Cardinals
[1 - 2 in Series Play]",2,"Philadelphia Athletics
[5 - 2 in Series Play]",4
1931,"St. Louis Cardinals
[2 - 2 in Series Play]",4,"Philadelphia Athletics
[5 - 3 in Series Play]",3
1932,"Chicago Cubs
[2 - 5 in Series Play]",0,"New York Yankees
[4 - 3 in Series Play]",4
1933,"New York Giants
[4 - 6 in Series Play]",4,"Washington Senators
[1 - 2 in Series Play]",1
